slug,name,skill_type,level,root_slug,visibility,content_chars,content_lines,has_embedding,practice_areas
litigation-employment-wrongful-termination-complaint,Complaint for Wrongful Termination,form,2,litigation,public,24143,74,t,"[""Litigation""]"
complaint-to-determine-dischargeability-of-debt,Complaint to Determine Dischargeability of Debt,form,2,litigation,public,16328,76,t,"[""Litigation""]"
litigation-complaint-to-quiet-title,Complaint to Quiet Title,form,2,litigation,public,31804,114,t,"[""Litigation""]"
complex-settlement-agreement-summary,Complex Settlement Agreement Summary,form,2,litigation,public,15016,66,t,"[""Litigation""]"
draft-confidentiality-severance-agreement-employment-litigation,Confidentiality and Severance Agreement,form,2,litigation,public,36360,144,t,"[""Litigation""]"
litigation-consent-judgment-and-injunction,Consent Judgment and Injunction,form,2,litigation,public,8431,38,t,"[""Litigation""]"
construction-defect-complaint-drafting,Construction Defect Complaint,form,2,litigation,public,10307,58,t,"[""Litigation""]"
construction-law-case-summaries,Construction Law Case Summaries,form,2,litigation,public,5907,22,t,"[""Litigation""]"
contract-dispute-analysis-report,Contract Dispute Analysis Report,form,2,litigation,public,13247,74,t,"[""Litigation""]"
litigation-counterclaim-and-crossclaim,Counterclaim and Crossclaim,form,2,litigation,public,19862,100,t,"[""Litigation""]"
litigation-personal-injury-coverage-opinion,Coverage Opinion,form,2,litigation,public,6578,116,t,"[""Litigation""]"
criminal-case-summaries,Criminal Case Summaries,form,2,litigation,public,3750,14,t,"[""Litigation""]"
litigation-cross-examination-key-points-summary,Cross-Examination Key Points,form,2,litigation,public,4761,26,t,"[""Litigation""]"
litigation-family-law-custody-evaluations-summary,Custody Evaluations,form,2,litigation,public,5502,20,t,"[""Litigation""]"
dmca-takedown-notice,DMCA Takedown Notice,form,2,litigation,public,8714,52,t,"[""Litigation""]"
debtor-in-possession-financing-motion,Debtor-in-Possession Financing Motion,form,2,litigation,public,8807,58,t,"[""Litigation""]"
litigation-personal-injury-demand-letter,Demand Letter,form,2,litigation,public,34072,166,t,"[""Litigation""]"
demand-package-compilation,Demand Package Compilation,form,2,litigation,public,5520,20,t,"[""Litigation""]"
demand-for-discovery-and-bill-of-particulars,Demand for Discovery and Bill of Particulars,form,2,litigation,public,16417,60,t,"[""Litigation""]"
litigation-personal-injury-deposition-notice,Deposition Notice,form,2,litigation,public,4853,32,t,"[""Litigation""]"
litigation-deposition-outline-hr-manager-employment,Deposition Outline of HR Manager,form,2,litigation,public,21102,92,t,"[""Litigation""]"
deposition-summaries-deep-analysis,Deposition Summaries - Deep Analysis,form,2,litigation,public,6935,18,t,"[""Litigation""]"
deposition-summary-narrative,Deposition Summary - Narrative,form,2,litigation,public,11770,56,t,"[""Litigation""]"
deposition-summary-page-line,Deposition Summary - Page-line,form,2,litigation,public,6846,18,t,"[""Litigation""]"
deposition-summary-with-key-document-index,Deposition Summary with Key Document Index,form,2,litigation,public,7777,32,t,"[""Litigation""]"
disclosure-statement-plan-reorganization,Disclosure Statement for Plan of Reorganization,form,2,litigation,public,9466,40,t,"[""Litigation""]"
litigation-discovery-dispute-resolution-letter,Discovery Dispute Resolution Letter,form,2,litigation,public,14795,274,t,"[""Litigation""]"
discovery-document-summaries,Discovery Document Summaries,form,2,litigation,public,5700,36,t,"[""Litigation""]"
litigation-discovery-document-summarization,Discovery Document Summarization,form,2,litigation,public,3639,16,t,"[""Litigation""]"
litigation-discovery-plan-scheduling-order,Discovery Plan and Scheduling Order,form,2,litigation,public,25840,124,t,"[""Litigation""]"
litigation-personal-injury-discovery-response-builder,Discovery Response Builder,form,2,litigation,public,33499,176,t,"[""Litigation""]"
discovery-summarization,Discovery Summarization,form,2,litigation,public,4416,28,t,"[""Litigation""]"
discovery-response-summary,Discovery response,form,2,litigation,public,6337,38,t,"[""Litigation""]"
divorce-settlement-summaries,Divorce Settlement Summaries,form,2,litigation,public,4439,20,t,"[""Litigation""]"
litigation-document-preservation-letter,Document Preservation Letter,form,2,litigation,public,12540,60,t,"[""Litigation""]"
document-production-log-summary,Document Production Log/Summary,form,2,litigation,public,8724,38,t,"[""Litigation""]"
litigation-family-law-domestic-violence-restraining-order-draft,Domestic Violence Restraining Order,form,2,litigation,public,5802,34,t,"[""Litigation""]"
draft-settlement-summaries,Draft Settlement Summaries,form,2,litigation,public,4263,18,t,"[""Litigation""]"
e-discovery-collection-review-summary,E-Discovery Collection & Review Summary,form,2,litigation,public,16914,78,t,"[""Litigation""]"
litigation-e-discovery-esi-protocol,E-Discovery Protocol (ESI Protocol),form,2,litigation,public,47067,180,t,"[""Litigation""]"
e-discovery-protocol-agreement,E-Discovery Protocol Agreement,form,2,litigation,public,6929,36,t,"[""Litigation""]"
eeoc-charge-of-discrimination,EEOC Charge of Discrimination,form,2,litigation,public,16089,42,t,"[""Litigation""]"
easement-dispute-complaint,Easement Dispute Complaint,form,2,litigation,public,20432,76,t,"[""Litigation""]"
employee-arbitration-agreement,Employee Arbitration Agreement,form,2,litigation,public,16323,70,t,"[""Litigation""]"
employee-complaint-summaries,Employee Complaint Summaries,form,2,litigation,public,5835,40,t,"[""Litigation""]"
employee-dispute-summaries,Employee Dispute Summaries,form,2,litigation,public,5210,22,t,"[""Litigation""]"
personal-injury-evidence-liability-summary,Evidence & Liability Summary,form,2,litigation,public,7794,36,t,"[""Litigation""]"
ex-parte-seizure-order,Ex Parte Seizure Order,form,2,litigation,public,7167,42,t,"[""Litigation""]"
expert-report-class-damages,Expert Report on Class Damages,form,2,litigation,public,9452,58,t,"[""Litigation""]"
expert-report-on-damages,Expert Report on Damages,form,2,litigation,public,21325,80,t,"[""Litigation""]"
expert-testimony-summarization,Expert Testimony Summarization,form,2,litigation,public,4304,26,t,"[""Litigation""]"
litigation-personal-injury-expert-witness-designation,Expert Witness Designation,form,2,litigation,public,42591,110,t,"[""Litigation""]"
expert-witness-report-analysis,Expert Witness Report Analysis,form,2,litigation,public,29903,100,t,"[""Litigation""]"
expert-witness-report-summaries,Expert Witness Report Summaries,form,2,litigation,public,5042,24,t,"[""Litigation""]"
expert-witness-medical-records-omissions-analysis,Expert witness omissions from medical records,form,2,litigation,public,3203,12,t,"[""Litigation""]"
litigation-criminal-defense-expungement-petition,Expungement Petition,form,2,litigation,public,12834,38,t,"[""Litigation""]"
fmla-violation-complaint-draft,FMLA Violation Complaint,form,2,litigation,public,41934,106,t,"[""Litigation""]"
litigation-class-action-fairness-hearing-notice,Fairness Hearing Notice,form,2,litigation,public,19839,76,t,"[""Litigation""]"
litigation-class-action-final-order-judgment,Final Order and Judgment,form,2,litigation,public,5148,30,t,"[""Litigation""]"
litigation-family-law-financial-affidavit-disclosure,Financial Affidavit and Disclosure,form,2,litigation,public,14456,84,t,"[""Litigation""]"
financial-analysis-summary-commercial-litigation,Financial Analysis Summaries in Legal Contexts,form,2,litigation,public,6762,38,t,"[""Litigation""]"
foreclosure-complaint-draft,Foreclosure Complaint,form,2,litigation,public,21862,84,t,"[""Litigation""]"
foreclosure-proceedings-summaries,Foreclosure Proceedings Summaries,form,2,litigation,public,4780,34,t,"[""Litigation""]"
forensic-accounting-investigation-report,Forensic Accounting Investigation Report,form,2,litigation,public,15201,78,t,"[""Litigation""]"
fraudulent-conveyance-complaint,Fraudulent Conveyance Complaint,form,2,litigation,public,11853,52,t,"[""Litigation""]"
expert-witness-impeachment-inconsistencies,Impeachment - Expert Witness summary inconsistencies,form,2,litigation,public,5042,22,t,"[""Litigation""]"
income-verification-summary,Income Verification Summary,form,2,litigation,public,17748,62,t,"[""Litigation""]"
independent-medical-examination-ime-report-summary,Independent Medical Examination (IME) Report Summary,form,2,litigation,public,7178,48,t,"[""Litigation""]"
ip-infringement-analysis,Infringement Analysis,form,2,litigation,public,5827,20,t,"[""Litigation""]"
litigation-personal-injury-initial-client-intake-form,Initial Client Intake Form,form,2,litigation,public,12547,36,t,"[""Litigation""]"
litigation-personal-injury-initial-contact-summary,Initial Contact Summary,form,2,litigation,public,20195,72,t,"[""Litigation""]"
insurance-correspondence-summarization,Insurance Correspondence Summarization,form,2,litigation,public,6349,42,t,"[""Litigation""]"
insurance-defense-pre-trial-report,Insurance Defense Pre‑Trial Report,form,2,litigation,public,9230,236,t,"[""Litigation""]"
insurance-policy-summaries,Insurance Policy Summaries,form,2,litigation,public,6660,34,t,"[""Litigation""]"
litigation-personal-injury-interrogatories-to-defendant,Interrogatories to Defendant,form,2,litigation,public,7075,44,t,"[""Litigation""]"
interrogatory-response-summaries,Interrogatory Response Summaries,form,2,litigation,public,3717,16,t,"[""Litigation""]"
litigation-criminal-defense-interview-summaries,Interview Summaries,form,2,litigation,public,4825,32,t,"[""Litigation""]"
inverse-condemnation-complaint,Inverse Condemnation Complaint,form,2,litigation,public,25156,92,t,"[""Litigation""]"
litigation-personal-injury-investigation-report-summary,Investigation Report Summaries,form,2,litigation,public,4535,16,t,"[""Litigation""]"
joint-claim-construction-chart,Joint Claim Construction Chart,form,2,litigation,public,12099,36,t,"[""Litigation""]"
litigation-appeals-jurisdictional-statement,Jurisdictional Statement,form,2,litigation,public,8094,30,t,"[""Litigation""]"
litigation-jury-instructions-drafting,Jury Instructions,form,2,litigation,public,16581,78,t,"[""Litigation""]"
litigation-personal-injury-legal-letter,Legal Letter,form,2,litigation,public,8742,198,t,"[""Litigation""]"
litigation-personal-injury-legal-memorandum,Legal Memorandum,form,2,litigation,public,8267,169,t,"[""Litigation""]"
litigation-personal-injury-letter-of-spoliation,Letter of Spoliation,form,2,litigation,public,4815,28,t,"[""Litigation""]"
lien-resolution-summary,Lien Resolution Summary,form,2,litigation,public,9719,46,t,"[""Litigation""]"
lis-pendens-notice-of-pending-action,Lis Pendens - Notice of Pending Action,form,2,litigation,public,17699,66,t,"[""Litigation""]"
litigation-support-summaries,Litigation Support Summaries,form,2,litigation,public,6221,28,t,"[""Litigation""]"
lost-wage-economic-loss-report,Lost Wage & Economic Loss Report,form,2,litigation,public,24181,100,t,"[""Litigation""]"
litigation-family-law-marital-settlement-agreement-draft,Marital Settlement Agreement,form,2,litigation,public,6320,32,t,"[""Litigation""]"
maritime-law-case-summaries,Maritime Law Case Summaries,form,2,litigation,public,5436,22,t,"[""Litigation""]"
markman-hearing-brief,Markman Hearing Brief,form,2,litigation,public,10279,51,t,"[""Litigation""]"
litigation-bankruptcy-means-test-calculation,Means Test Calculation ,form,2,litigation,public,4668,63,t,"[""Litigation""]"
mechanics-lien-foreclosure-action,Mechanic's Lien Foreclosure Action,form,2,litigation,public,7187,38,t,"[""Litigation""]"
litigation-mediation-briefs,Mediation Briefs,form,2,litigation,public,3539,16,t,"[""Litigation""]"
litigation-personal-injury-mediation-statement,Mediation Statement,form,2,litigation,public,6963,115,t,"[""Litigation""]"
litigation-mediation-statement-brief,Mediation Statement/Brief,form,2,litigation,public,7950,44,t,"[""Litigation""]"
litigation-mediation-summary-statement,Mediation Summaries/Statement,form,2,litigation,public,3748,16,t,"[""Litigation""]"
mediation-arbitration-statement,Mediation or Arbitration Statement,form,2,litigation,public,9584,56,t,"[""Litigation""]"
medical-malpractice-summary-analysis,Medical Malpractice summary,form,2,litigation,public,4073,24,t,"[""Litigation""]"
litigation-personal-injury-medical-record-chronology,Medical Record Chronology,form,2,litigation,public,16643,58,t,"[""Litigation""]"
personal-injury-medical-treatment-summary,Medical Treatment Summary,form,2,litigation,public,21907,88,t,"[""Litigation""]"
medical-and-billing-records-analysis,Medical and Billing Records Analysis,form,2,litigation,public,3231,12,t,"[""Litigation""]"
military-law-summaries,Military Law Summaries,form,2,litigation,public,5150,18,t,"[""Litigation""]"
family-law-modification-petition-summaries,Modification Petition Summaries,form,2,litigation,public,3740,16,t,"[""Litigation""]"
litigation-class-action-motion-for-attorneys-fees,Motion for Attorneys' Fees,form,2,litigation,public,64361,210,t,"[""Litigation""]"
litigation-criminal-defense-motion-for-bail-reduction,Motion for Bail Reduction,form,2,litigation,public,8711,38,t,"[""Litigation""]"
litigation-motion-for-class-certification,Motion for Class Certification,form,2,litigation,public,25441,76,t,"[""Litigation""]"
motion-conditional-certification-flsa,Motion for Conditional Certification FLSA,form,2,litigation,public,10610,38,t,"[""Litigation""]"
litigation-class-action-motion-final-settlement-approval,Motion for Final Approval of Settlement,form,2,litigation,public,6792,32,t,"[""Litigation""]"
motion-for-judgment-notwithstanding-the-verdict,Motion for Judgment Notwithstanding the Verdict,form,2,litigation,public,10152,36,t,"[""Litigation""]"
litigation-criminal-defense-motion-for-new-trial,Motion for New Trial,form,2,litigation,public,6794,38,t,"[""Litigation""]"
litigation-class-action-motion-for-preliminary-approval-of-settlement,Motion for Preliminary Approval of Settlement,form,2,litigation,public,9100,32,t,"[""Litigation""]"
motion-for-relief-from-automatic-stay,Motion for Relief from Automatic Stay,form,2,litigation,public,26619,100,t,"[""Litigation""]"
motion-for-stay-pending-appeal,Motion for Stay Pending Appeal,form,2,litigation,public,16736,92,t,"[""Litigation""]"
litigation-personal-injury-motion-for-summary-judgment,Motion for Summary Judgment,form,2,litigation,public,11977,64,t,"[""Litigation""]"
family-law-motion-for-temporary-relief,Motion for Temporary Relief,form,2,litigation,public,16965,80,t,"[""Litigation""]"
litigation-criminal-defense-motion-in-limine,Motion in Limine,form,2,litigation,public,8756,42,t,"[""Litigation""]"
litigation-bankruptcy-motion-to-avoid-lien,Motion to Avoid Lien,form,2,litigation,public,6685,28,t,"[""Litigation""]"
litigation-personal-injury-request-for-production-of-documents,Motion to Compel Discovery,user,2,litigation,public,33977,459,t,"[""Litigation""]"
motion-to-convert-case,Motion to Convert Case,form,2,litigation,public,5779,22,t,"[""Litigation""]"
litigation-motion-to-dismiss-commercial,Motion to Dismiss,form,2,litigation,public,9699,48,t,"[""Litigation""]"
litigation-criminal-defense-motion-to-dismiss-indictment,Motion to Dismiss Indictment,form,2,litigation,public,15936,68,t,"[""Litigation""]"
motion-to-extend-time-to-file-brief,Motion to Extend Time to File Brief,form,2,litigation,public,15970,50,t,"[""Litigation""]"
motion-to-suppress-evidence,Motion to Suppress Evidence,form,2,litigation,public,16237,60,t,"[""Litigation""]"
multi-year-tax-return-income-analysis,Multi-Year Tax Return Income Analysis,form,2,litigation,public,9205,56,t,"[""Litigation""]"
non-compete-agreement-and-litigation,Non-Compete Agreement and Litigation,form,2,litigation,public,16748,56,t,"[""Litigation"", ""Transactional""]"
notice-of-alibi-defense,Notice of Alibi Defense,form,2,litigation,public,18827,76,t,"[""Litigation""]"
litigation-appeals-notice-of-appeal,Notice of Appeal,form,2,litigation,public,3832,22,t,"[""Litigation""]"
notice-of-appeal-criminal,Notice of Appeal - Criminal,form,2,litigation,public,48824,108,t,"[""Litigation""]"
notice-of-appearance-of-counsel,Notice of Appearance of Counsel,form,2,litigation,public,12019,56,t,"[""Litigation""]"
notice-of-assets-and-request-for-claims,Notice of Assets and Request for Claims,form,2,litigation,public,10575,46,t,"[""Litigation""]"
notice-of-class-action-to-class-members,Notice of Class Action to Class Members,form,2,litigation,public,29604,120,t,"[""Litigation""]"
notice-of-prior-art,Notice of Prior Art,form,2,litigation,public,17102,58,t,"[""Litigation""]"
notice-of-right-to-sue-letter,Notice of Right to Sue Letter,form,2,litigation,public,9894,38,t,"[""Litigation""]"
objection-to-proof-of-claim,Objection to Proof of Claim,form,2,litigation,public,13979,56,t,"[""Litigation""]"
litigation-class-action-opt-out-form-draft,Opt-Out Form,form,2,litigation,public,6219,44,t,"[""Litigation""]"
litigation-order-certifying-class,Order Certifying Class,form,2,litigation,public,8646,40,t,"[""Litigation""]"
litigation-appeals-order-and-judgment-on-appeal,Order and Judgment on Appeal,form,2,litigation,public,12030,44,t,"[""Litigation""]"
litigation-family-law-parenting-plan-draft,Parenting Plan,form,2,litigation,public,10440,68,t,"[""Litigation""]"
litigation-criminal-defense-parole-hearing-summaries,Parole Hearing Summaries,form,2,litigation,public,4649,20,t,"[""Litigation""]"
patent-infringement-analysis-report,Patent Infringement Analysis Report,form,2,litigation,public,40288,142,t,"[""Litigation""]"
patent-infringement-case-summaries,Patent Infringement Case Summaries,form,2,litigation,public,5213,24,t,"[""Litigation""]"
litigation-personal-injury-demand-summary,Personal injury demand summary,form,2,litigation,public,4724,18,t,"[""Litigation""]"
litigation-family-law-petition-for-adoption,Petition for Adoption,form,2,litigation,public,18048,54,t,"[""Litigation""]"
petition-for-dissolution-of-marriage,Petition for Dissolution of Marriage,form,2,litigation,public,9748,83,t,"[""Litigation""]"
litigation-family-law-petition-for-guardianship,Petition for Guardianship,form,2,litigation,public,7281,32,t,"[""Litigation""]"
petition-for-rehearing-en-banc,Petition for Rehearing En Banc,form,2,litigation,public,17201,70,t,"[""Litigation""]"
petition-for-writ-of-certiorari,Petition for Writ of Certiorari,form,2,litigation,public,21957,82,t,"[""Litigation""]"
litigation-criminal-defense-petition-writ-habeas-corpus,Petition for Writ of Habeas Corpus,form,2,litigation,public,12399,79,t,"[""Litigation""]"
petition-to-establish-paternity,Petition to Establish Paternity,form,2,litigation,public,11531,50,t,"[""Litigation""]"
plan-of-reorganization-chapter-11,Plan of Reorganization Chapter 11,form,2,litigation,public,37268,134,t,"[""Litigation""]"
litigation-criminal-defense-plea-agreement-draft,Plea Agreement,form,2,litigation,public,7589,72,t,"[""Litigation""]"
litigation-criminal-defense-plea-agreement-summaries,Plea Agreement Summaries,form,2,litigation,public,3856,18,t,"[""Litigation""]"
police-report-summaries,Police Report Summaries,form,2,litigation,public,3938,24,t,"[""Litigation""]"
police-incident-report-summary,Police/Incident Report Summary,form,2,litigation,public,13980,56,t,"[""Litigation""]"
position-statement-to-eeoc,Position Statement to EEOC,form,2,litigation,public,17905,74,t,"[""Litigation""]"
post-judgment-asset-enforcement-report,Post-Judgment Asset & Enforcement Report,form,2,litigation,public,19023,74,t,"[""Litigation""]"
post-settlement-correspondence,Post-Settlement Correspondence,form,2,litigation,public,3686,14,t,"[""Litigation""]"
pre-hearing-statement-of-proof,Pre-Hearing Statement of Proof,form,2,litigation,public,5459,26,t,"[""Litigation""]"
pre-litigation-demand-letter,Pre-Litigation Demand Letter,form,2,litigation,public,9645,45,t,"[""Litigation""]"
draft-pre-trial-statement-commercial-litigation,Pre-Trial Statement,form,2,litigation,public,7395,42,t,"[""Litigation""]"
litigation-commercial-pre-trial-statement-report,Pre-Trial Statement/Report,form,2,litigation,public,18490,80,t,"[""Litigation""]"
litigation-bankruptcy-preference-demand-letter,Preference Demand Letter,form,2,litigation,public,13597,56,t,"[""Litigation""]"
preliminary-injunction-motion,Preliminary Injunction Motion,form,2,litigation,public,19671,90,t,"[""Litigation""]"
draft-prenuptial-postnuptial-agreement-family-law,Prenuptial or Postnuptial Agreement,form,2,litigation,public,24783,50,t,"[""Litigation""]"
product-liability-case-summaries,Product Liability Case Summaries,form,2,litigation,public,4659,16,t,"[""Litigation""]"
litigation-bankruptcy-proof-of-claim,Proof of Claim (Bankruptcy),form,2,litigation,public,16848,371,t,"[""Litigation"", ""Bankruptcy""]"
litigation-protective-order-confidential-information,Protective Order for Confidential Information,form,2,litigation,public,17967,82,t,"[""Litigation""]"
litigation-family-law-qdro-draft,Qualified Domestic Relations Order (QDRO),form,2,litigation,public,11556,40,t,"[""Litigation""]"
litigation-bankruptcy-reaffirmation-agreement,Reaffirmation Agreement,form,2,litigation,public,5261,32,t,"[""Litigation""]"
record-designation-on-appeal,Record Designation on Appeal,form,2,litigation,public,14319,64,t,"[""Litigation""]"
release-of-all-claims-personal-injury,Release of All Claims,form,2,litigation,public,19336,42,t,"[""Litigation""]"
litigation-appeals-reply-brief-appellant,Reply Brief for Appellant,form,2,litigation,public,19092,76,t,"[""Litigation""]"
litigation-personal-injury-request-for-admissions,Request for Admissions,form,2,litigation,public,12701,30,t,"[""Litigation""]"
litigation-criminal-defense-request-for-jury-trial,Request for Jury Trial,form,2,litigation,public,10445,44,t,"[""Litigation""]"
request-for-order-modification,Request for Order Modification,form,2,litigation,public,14133,70,t,"[""Litigation""]"
response-to-petition-dissolution-marriage,Response to Petition,form,2,litigation,public,6699,42,t,"[""Litigation""]"
sentencing-guideline-analysis,Sentencing Guideline Analysis,form,2,litigation,public,4657,20,t,"[""Litigation""]"
litigation-criminal-defense-sentencing-memorandum,Sentencing Memorandum,form,2,litigation,public,16377,66,t,"[""Litigation""]"
settlement-agreement-release-summary,Settlement Agreement & Release Summary,form,2,litigation,public,8105,38,t,"[""Litigation""]"
settlement-agreement-summaries,Settlement Agreement Summaries,form,2,litigation,public,3818,16,t,"[""Litigation""]"
litigation-settlement-agreements,Settlement Agreements,form,2,litigation,public,7155,38,t,"[""Litigation""]"
litigation-personal-injury-settlement-demand-letter,Settlement Demand Letter,form,2,litigation,public,12940,66,t,"[""Litigation""]"
settlement-demand-package,Settlement Demand Package,form,2,litigation,public,8992,50,t,"[""Litigation""]"
litigation-personal-injury-settlement-distribution-statement,Settlement Distribution Statement / Closing Statement,form,2,litigation,public,13818,48,t,"[""Litigation""]"
settlement-summaries,Settlement Summaries,form,2,litigation,public,5397,32,t,"[""Litigation""]"
settlement-and-license-agreement,Settlement and License Agreement,form,2,litigation,public,7849,46,t,"[""Litigation""]"
sports-law-case-summaries,Sports Law Case Summaries,form,2,litigation,public,6388,24,t,"[""Litigation""]"
subpoena-duces-tecum-for-records,Subpoena Duces Tecum for Records,form,2,litigation,public,13004,38,t,"[""Litigation""]"
litigation-summary-judgment-motion-brief,Summary Judgment Motion Brief,form,2,litigation,public,8859,26,t,"[""Litigation""]"
summary-judgment-summarization,Summary Judgments,form,2,litigation,public,5386,38,t,"[""Litigation""]"
litigation-family-law-summons-draft,Summons - Family Law,form,2,litigation,public,11539,42,t,"[""Litigation""]"
litigation-personal-injury-summons-and-service-packet,Summons and Service Packet,form,2,litigation,public,23543,92,t,"[""Litigation""]"
tax-return-summary,Tax Return Summary,form,2,litigation,public,19847,78,t,"[""Litigation""]"
tax-summaries-for-spousal-support,Tax Summaries for Spousal Support,form,2,litigation,public,6021,34,t,"[""Litigation""]"
patent-litigation-technology-tutorial,Technology Tutorial for Court,form,2,litigation,public,6737,46,t,"[""Litigation""]"
litigation-personal-injury-tender-letter,Tender Letter,form,2,litigation,public,7853,20,t,"[""Litigation""]"
tender-letter-denial,Tender Letter Denial,form,2,litigation,public,16211,70,t,"[""Litigation""]"
tender-of-defense-contractual-obligations,Tender of Defense Contractual Obligations,form,2,litigation,public,24679,110,t,"[""Litigation""]"
tender-of-defense-to-insurance-carrier,Tender of Defense to Insurance Carrier,form,2,litigation,public,6819,136,t,"[""Litigation""]"
litigation-third-party-complaint,Third-Party Complaint,form,2,litigation,public,7602,66,t,"[""Litigation""]"
timeline-of-warranty-requests,Timeline of Warranty Requests,form,2,litigation,public,22163,78,t,"[""Litigation""]"
track-deposits-bank-statements,Track Deposits & Bank Statements,form,2,litigation,public,6361,14,t,"[""Litigation""]"
trademark-clearance-search-report,Trademark Clearance Search Report,form,2,litigation,public,10314,34,t,"[""Litigation""]"
trademark-opposition-summaries,Trademark Opposition Summaries,form,2,litigation,public,6389,30,t,"[""Litigation""]"
traffic-law-enforcement-summaries,Traffic Law Enforcement Summaries,form,2,litigation,public,4172,14,t,"[""Litigation""]"
litigation-commercial-litigation-trial-brief,Trial Brief,form,2,litigation,public,22405,90,t,"[""Litigation""]"
trial-preparation-summaries,Trial Preparation Summaries,form,2,litigation,public,3354,16,t,"[""Litigation""]"
unlawful-detainer-eviction-complaint,Unlawful Detainer - Eviction Complaint,form,2,litigation,public,13232,70,t,"[""Litigation""]"
verdict-analysis,Verdict Analysis,form,2,litigation,public,3150,12,t,"[""Litigation""]"
litigation-verdict-form-draft,Verdict Form,form,2,litigation,public,6346,48,t,"[""Litigation""]"
verdict-judgment-summary,Verdict/Judgment Summary,form,2,litigation,public,12574,50,t,"[""Litigation""]"
wage-loss-verification-summaries,Wage Loss Verification Summaries,form,2,litigation,public,3719,16,t,"[""Litigation""]"
wage-and-hour-class-action-complaint,Wage and Hour Class Action Complaint,form,2,litigation,public,15124,84,t,"[""Litigation""]"
whistleblower-complaint-osha,Whistleblower Complaint OSHA,form,2,litigation,public,46962,168,t,"[""Litigation""]"
workers-compensation-deposition-summary,Workers Compensation Deposition Summary,form,2,litigation,public,4575,18,t,"[""Litigation""]"
litigation-commercial-writ-of-execution,Writ of Execution,form,2,litigation,public,20453,84,t,"[""Litigation""]"
written-discovery-response-summary,Written Discovery Response Summary,form,2,litigation,public,31057,160,t,"[""Litigation""]"
youth-offender-case-summaries,Youth Offender Case Summaries,form,2,litigation,public,7078,38,t,"[""Litigation""]"
zoning-and-land-use-appeal,Zoning and Land Use Appeal,form,2,litigation,public,27984,82,t,"[""Litigation""]"
bankruptcy-collateral-valuation-reference,Collateral Valuation Reference (Bankruptcy Claims),reference,3,litigation,public,8729,227,f,"[""Litigation"", ""Bankruptcy""]"
bankruptcy-interest-calculation-reference,Interest Calculation Reference (Bankruptcy Claims),reference,3,litigation,public,7714,198,f,"[""Litigation"", ""Bankruptcy""]"
litigation-appeals-amicus-coalition-coordination,Amicus Coalition Management,root,0,litigation-appeals-amicus-coalition-coordination,public,34727,182,f,
litigation-appeals-amicus-interest-statement,Drafting Amicus Interest Statements,root,0,litigation-appeals-amicus-interest-statement,public,32672,158,f,
litigation-appeals-technical-formatting-requirements,Appellate Document Formatting and Certification,root,0,litigation-appeals-technical-formatting-requirements,public,34112,195,f,
litigation-ca-discovery-verification-builder,California Discovery Verification Builder,root,0,litigation-ca-discovery-verification-builder,public,31642,162,f,
litigation-ca-privilege-log-generator,California Privilege Log Generator,root,0,litigation-ca-privilege-log-generator,public,30804,144,f,
litigation-pi-plaintiff-fact-sheet-analyzer,Personal Injury Plaintiff Fact Sheet Analyzer,root,0,litigation-pi-plaintiff-fact-sheet-analyzer,public,35317,165,f,
medical-billing-audit-litigation,Medical Billing and Special Damages Audit,root,0,medical-billing-audit-litigation,public,36434,182,f,
negotiate-enterprise-api-addendum,Negotiate Enterprise API Addendum,root,0,negotiate-enterprise-api-addendum,public,30357,545,f,
notice-of-entry-generator,Notice of Property Entry Generator,root,0,notice-of-entry-generator,public,31496,194,f,
personal-injury-damages-calculator,Personal Injury Damages Calculation,root,0,personal-injury-damages-calculator,public,38009,176,f,
pet-custody-best-interest-factors,Pet Custody Best Interest Analysis,root,0,pet-custody-best-interest-factors,public,36283,156,f,
professional-fundraiser-contract-compliance-check,Professional Fundraiser Contract Compliance Check,root,0,professional-fundraiser-contract-compliance-check,public,28310,435,f,
real-estate-residential-transactions-purchase-agreement-summary,Residential Purchase Agreement Summary for Title & Escrow,form,0,real-estate-residential-transactions-purchase-agreement-summary,public,32034,170,f,"[""Real Estate""]"
regulatory,Regulatory Practice,root,0,regulatory,public,616,21,t,"[""Regulatory""]"
audit-report-summaries,Audit Report Summaries,form,1,regulatory,public,3358,14,t,"[""Corporate"", ""Regulatory""]"
aviation-law-summaries,Aviation Law Summaries,form,1,regulatory,public,8115,40,t,"[""Regulatory""]"
client-advisory-summaries,Client Advisory Summaries,form,1,regulatory,public,5990,36,t,"[""Regulatory""]"
compliance-summaries,Compliance Summaries,form,1,regulatory,public,5365,18,t,"[""Regulatory""]"
gambling-law-summaries,Gambling Law Summaries,form,1,regulatory,public,5706,24,t,"[""Regulatory""]"
immigration-case-summaries,Immigration Case Summaries,form,1,regulatory,public,7736,40,t,"[""Regulatory""]"
immigration-support-letter,Immigration support letter,form,1,regulatory,public,6135,34,t,"[""Regulatory""]"
legal-audit-summaries,Legal Audit Summaries,form,1,regulatory,public,6829,36,t,"[""Regulatory""]"
regulatory-general-policy-manuals,Policy Manuals,form,1,regulatory,public,3979,16,t,"[""Regulatory""]"
policy-summaries,Policy Summaries,form,1,regulatory,public,5591,32,t,"[""Regulatory""]"
regulatory-document-summarization,Regulatory Document Summarization,form,1,regulatory,public,3404,12,t,"[""Regulatory""]"
